TITLE = 'solution of Poisson Equation'
 No.   Coord-x,  Coord-y   Result_SPh   Exact_Solution
 1   0.000000   0.000000          0.0000    0.000000
 42   0.025000   0.000000         -0.0000    0.000000
 83   0.050000   0.000000          0.0000    0.000000
 124   0.075000   0.000000          0.0000    0.000000
 165   0.100000   0.000000          0.0000    0.000000
 206   0.125000   0.000000          0.0000    0.000000
 247   0.150000   0.000000          0.0000    0.000000
 288   0.175000   0.000000          0.0000    0.000000
 329   0.200000   0.000000          0.0000    0.000000
 370   0.225000   0.000000          0.0000    0.000000
 411   0.250000   0.000000          0.0000    0.000000
 452   0.275000   0.000000          0.0000    0.000000
 493   0.300000   0.000000          0.0000    0.000000
 534   0.325000   0.000000          0.0000    0.000000
 575   0.350000   0.000000          0.0000    0.000000
 616   0.375000   0.000000          0.0000    0.000000
 657   0.400000   0.000000          0.0000    0.000000
 698   0.425000   0.000000          0.0000    0.000000
 739   0.450000   0.000000          0.0000    0.000000
 780   0.475000   0.000000          0.0000    0.000000
 821   0.500000   0.000000          0.0000    0.000000
 862   0.525000   0.000000          0.0000    0.000000
 903   0.550000   0.000000          0.0000    0.000000
 944   0.575000   0.000000          0.0000    0.000000
 985   0.600000   0.000000          0.0000    0.000000
 1026   0.625000   0.000000          0.0000    0.000000
 1067   0.650000   0.000000          0.0000    0.000000
 1108   0.675000   0.000000          0.0000    0.000000
 1149   0.700000   0.000000          0.0000    0.000000
 1190   0.725000   0.000000          0.0000    0.000000
 1231   0.750000   0.000000          0.0000    0.000000
 1272   0.775000   0.000000          0.0000    0.000000
 1313   0.800000   0.000000          0.0000    0.000000
 1354   0.825000   0.000000          0.0000    0.000000
 1395   0.850000   0.000000          0.0000    0.000000
 1436   0.875000   0.000000          0.0000    0.000000
 1477   0.900000   0.000000          0.0000    0.000000
 1518   0.925000   0.000000          0.0000    0.000000
 1559   0.950000   0.000000          0.0000    0.000000
 1600   0.975000   0.000000         -0.0000    0.000000
 1641   1.000000   0.000000          0.0000    0.000000
 2   0.000000   0.025000         -0.0000    0.000000
 43   0.025000   0.025000          0.0001    0.000312
 84   0.050000   0.025000          0.0003    0.000622
 125   0.075000   0.025000          0.0004    0.000928
 166   0.100000   0.025000          0.0006    0.001228
 207   0.125000   0.025000          0.0008    0.001521
 248   0.150000   0.025000          0.0010    0.001805
 289   0.175000   0.025000          0.0011    0.002077
 330   0.200000   0.025000          0.0012    0.002336
 371   0.225000   0.025000          0.0013    0.002581
 412   0.250000   0.025000          0.0015    0.002811
 453   0.275000   0.025000          0.0016    0.003022
 494   0.300000   0.025000          0.0017    0.003216
 535   0.325000   0.025000          0.0018    0.003389
 576   0.350000   0.025000          0.0019    0.003542
 617   0.375000   0.025000          0.0019    0.003672
 658   0.400000   0.025000          0.0020    0.003780
 699   0.425000   0.025000          0.0020    0.003865
 740   0.450000   0.025000          0.0021    0.003926
 781   0.475000   0.025000          0.0021    0.003963
 822   0.500000   0.025000          0.0021    0.003975
 863   0.525000   0.025000          0.0021    0.003963
 904   0.550000   0.025000          0.0021    0.003926
 945   0.575000   0.025000          0.0020    0.003865
 986   0.600000   0.025000          0.0020    0.003780
 1027   0.625000   0.025000          0.0019    0.003672
 1068   0.650000   0.025000          0.0019    0.003542
 1109   0.675000   0.025000          0.0018    0.003389
 1150   0.700000   0.025000          0.0017    0.003216
 1191   0.725000   0.025000          0.0016    0.003022
 1232   0.750000   0.025000          0.0015    0.002811
 1273   0.775000   0.025000          0.0013    0.002581
 1314   0.800000   0.025000          0.0012    0.002336
